Bid_No,Units,Unit_Price,Total_Price,Win,MSRP,Unit_Cost
125,28,"$18,038","$505,069",1,"$25,000",15000
126,14,"$20,227","$283,173",0,"$25,000",15000
127,14,"$21,003","$294,045",0,"$25,000",15000
128,14,"$22,324","$312,529",0,"$25,000",15000
129,28,"$20,115","$563,221",0,"$25,000",15000
130,15,"$22,062","$330,926",0,"$25,000",15000
131,20,"$17,784","$355,684",1,"$25,000",15000
132,13,"$17,973","$233,653",0,"$25,000",15000
133,22,"$17,709","$389,595",0,"$25,000",15000
134,15,"$18,800","$281,995",0,"$25,000",15000
135,33,"$16,750","$552,748",0,"$25,000",15000
136,21,"$18,776","$394,303",0,"$25,000",15000
137,11,"$16,742","$184,165",0,"$25,000",15000
138,22,"$20,611","$453,449",1,"$25,000",15000
139,18,"$19,582","$352,468",0,"$25,000",15000
140,21,"$18,228","$382,785",0,"$25,000",15000
141,18,"$16,635","$299,432",0,"$25,000",15000
142,11,"$18,337","$201,711",1,"$25,000",15000
143,13,"$18,355","$238,619",0,"$25,000",15000
144,15,"$22,268","$334,017",0,"$25,000",15000
145,15,"$21,937","$329,053",0,"$25,000",15000
146,26,"$17,509","$455,231",0,"$25,000",15000
147,23,"$16,449","$378,326",1,"$25,000",15000
148,12,"$18,325","$219,901",0,"$25,000",15000
149,15,"$20,225","$303,378",0,"$25,000",15000
150,15,"$15,541","$233,118",1,"$25,000",15000
151,26,"$15,980","$415,471",0,"$25,000",15000
152,24,"$18,642","$447,401",0,"$25,000",15000
153,27,"$18,930","$511,097",1,"$25,000",15000
154,16,"$22,377","$358,037",0,"$25,000",15000
155,20,"$15,458","$309,156",1,"$25,000",15000
156,12,"$20,078","$240,931",0,"$25,000",15000
157,27,"$16,132","$435,567",0,"$25,000",15000
158,22,"$20,307","$446,750",0,"$25,000",15000
159,16,"$17,217","$275,475",0,"$25,000",15000
160,11,"$17,960","$197,559",0,"$25,000",15000
161,16,"$18,069","$289,112",1,"$25,000",15000
162,10,"$19,017","$190,170",1,"$25,000",15000
163,28,"$21,050","$589,407",0,"$25,000",15000
164,27,"$15,968","$431,142",0,"$25,000",15000
165,19,"$21,902","$416,140",1,"$25,000",15000
166,29,"$17,703","$513,392",1,"$25,000",15000
167,31,"$20,024","$620,735",0,"$25,000",15000
168,11,"$17,469","$192,157",1,"$25,000",15000
169,30,"$19,482","$584,474",0,"$25,000",15000
170,17,"$16,758","$284,893",0,"$25,000",15000
171,11,"$15,768","$173,451",1,"$25,000",15000
172,10,"$18,614","$186,136",0,"$25,000",15000
173,17,"$16,757","$284,876",1,"$25,000",15000
174,17,"$18,640","$316,887",1,"$25,000",15000
175,14,"$18,271","$255,789",0,"$25,000",15000
176,11,"$18,130","$199,428",1,"$25,000",15000
177,14,"$20,868","$292,145",0,"$25,000",15000
178,21,"$21,669","$455,059",0,"$25,000",15000
179,11,"$18,844","$207,281",0,"$25,000",15000
180,16,"$19,374","$309,977",0,"$25,000",15000
181,18,"$22,378","$402,799",0,"$25,000",15000
182,22,"$15,160","$333,525",1,"$25,000",15000
183,13,"$21,798","$283,372",0,"$25,000",15000
184,20,"$15,514","$310,278",0,"$25,000",15000
185,19,"$22,466","$426,849",0,"$25,000",15000
186,24,"$16,989","$407,731",0,"$25,000",15000
187,12,"$15,056","$180,674",1,"$25,000",15000
188,19,"$20,558","$390,600",0,"$25,000",15000
189,27,"$18,054","$487,447",1,"$25,000",15000
190,13,"$20,461","$265,990",0,"$25,000",15000
191,16,"$15,421","$246,734",1,"$25,000",15000
192,20,"$16,363","$327,264",1,"$25,000",15000
193,14,"$15,021","$210,295",0,"$25,000",15000
194,21,"$18,203","$382,273",0,"$25,000",15000
195,13,"$16,438","$213,690",1,"$25,000",15000
196,22,"$20,553","$452,172",0,"$25,000",15000
197,31,"$19,910","$617,221",0,"$25,000",15000
198,19,"$15,468","$293,900",1,"$25,000",15000
199,16,"$21,636","$346,169",0,"$25,000",15000
200,11,"$19,217","$211,389",0,"$25,000",15000
201,13,"$19,835","$257,850",0,"$25,000",15000
202,13,"$18,377","$238,895",1,"$25,000",15000
203,19,"$18,117","$344,226",1,"$25,000",15000
204,25,"$15,176","$379,390",1,"$25,000",15000
205,15,"$18,645","$279,678",0,"$25,000",15000
206,34,"$15,315","$520,718",1,"$25,000",15000
207,38,"$16,062","$610,358",0,"$25,000",15000
208,19,"$21,283","$404,386",0,"$25,000",15000
209,19,"$18,806","$357,320",0,"$25,000",15000
210,10,"$15,867","$158,668",1,"$25,000",15000
211,19,"$15,489","$294,296",0,"$25,000",15000
212,20,"$19,049","$380,983",0,"$25,000",15000
213,31,"$17,532","$543,506",1,"$25,000",15000
214,31,"$18,206","$564,371",0,"$25,000",15000
215,15,"$15,309","$229,642",1,"$25,000",15000
216,17,"$15,273","$259,649",1,"$25,000",15000
217,20,"$20,660","$413,194",0,"$25,000",15000
218,13,"$21,930","$285,092",0,"$25,000",15000
219,25,"$20,616","$515,405",0,"$25,000",15000
220,18,"$15,585","$280,535",1,"$25,000",15000
221,30,"$15,982","$479,475",0,"$25,000",15000
222,12,"$20,199","$242,389",0,"$25,000",15000
223,25,"$21,279","$531,964",0,"$25,000",15000
224,16,"$16,648","$266,372",1,"$25,000",15000
225,24,"$16,232","$389,564",1,"$25,000",15000
226,14,"$17,316","$242,430",1,"$25,000",15000
227,14,"$16,473","$230,618",1,"$25,000",15000
228,12,"$19,852","$238,220",0,"$25,000",15000
229,17,"$20,451","$347,675",1,"$25,000",15000
230,12,"$18,511","$222,136",1,"$25,000",15000
231,12,"$18,283","$219,398",1,"$25,000",15000
232,23,"$18,821","$432,890",0,"$25,000",15000
233,17,"$15,169","$257,876",0,"$25,000",15000
234,13,"$17,240","$224,117",0,"$25,000",15000
235,10,"$16,939","$169,392",1,"$25,000",15000
236,27,"$21,201","$572,435",0,"$25,000",15000
237,10,"$19,653","$196,526",0,"$25,000",15000
238,11,"$22,121","$243,326",0,"$25,000",15000
239,13,"$15,176","$197,290",1,"$25,000",15000
240,11,"$16,688","$183,566",1,"$25,000",15000
241,10,"$20,410","$204,097",1,"$25,000",15000
242,14,"$18,906","$264,679",0,"$25,000",15000
243,18,"$17,699","$318,580",1,"$25,000",15000
244,20,"$16,304","$326,071",0,"$25,000",15000
245,20,"$15,532","$310,635",1,"$25,000",15000
246,29,"$21,520","$624,079",0,"$25,000",15000
247,36,"$16,794","$604,582",1,"$25,000",15000
248,11,"$15,816","$173,978",1,"$25,000",15000
249,15,"$21,883","$328,247",0,"$25,000",15000
250,15,"$22,244","$333,654",0,"$25,000",15000
251,15,"$20,093","$301,402",0,"$25,000",15000
252,15,"$16,420","$246,296",1,"$25,000",15000
253,10,"$21,534","$215,341",0,"$25,000",15000
254,18,"$22,198","$399,564",0,"$25,000",15000
255,18,"$22,036","$396,645",0,"$25,000",15000
256,11,"$20,063","$220,689",1,"$25,000",15000
257,22,"$16,480","$362,558",1,"$25,000",15000
258,10,"$15,638","$156,381",0,"$25,000",15000
259,18,"$21,140","$380,512",0,"$25,000",15000
260,14,"$19,801","$277,211",0,"$25,000",15000
261,14,"$20,870","$292,175",0,"$25,000",15000
262,33,"$18,787","$619,957",1,"$25,000",15000
263,23,"$15,452","$355,403",1,"$25,000",15000
264,20,"$16,401","$328,011",1,"$25,000",15000
265,12,"$17,492","$209,903",1,"$25,000",15000
266,15,"$19,054","$285,807",0,"$25,000",15000
267,17,"$17,358","$295,079",1,"$25,000",15000
268,17,"$16,992","$288,865",0,"$25,000",15000
269,25,"$15,267","$381,687",1,"$25,000",15000
270,11,"$21,425","$235,680",0,"$25,000",15000
271,20,"$16,238","$324,758",1,"$25,000",15000
272,12,"$18,980","$227,762",1,"$25,000",15000
273,37,"$18,834","$696,841",0,"$25,000",15000
274,15,"$16,652","$249,778",1,"$25,000",15000
275,16,"$15,231","$243,695",1,"$25,000",15000
276,12,"$15,577","$186,919",1,"$25,000",15000
277,20,"$21,609","$432,181",0,"$25,000",15000
278,21,"$15,416","$323,746",1,"$25,000",15000
279,14,"$17,617","$246,636",0,"$25,000",15000
280,34,"$19,103","$649,503",0,"$25,000",15000
281,10,"$19,277","$192,767",0,"$25,000",15000
282,18,"$19,159","$344,861",0,"$25,000",15000
283,21,"$16,426","$344,953",0,"$25,000",15000
284,14,"$16,874","$236,241",1,"$25,000",15000
285,16,"$20,428","$326,844",0,"$25,000",15000
286,22,"$17,886","$393,496",0,"$25,000",15000
287,17,"$21,915","$372,552",0,"$25,000",15000
288,24,"$22,134","$531,216",0,"$25,000",15000
289,16,"$18,415","$294,632",1,"$25,000",15000
290,14,"$16,336","$228,702",1,"$25,000",15000
291,32,"$17,169","$549,405",1,"$25,000",15000
292,22,"$18,806","$413,742",0,"$25,000",15000
293,21,"$16,544","$347,434",1,"$25,000",15000
294,14,"$16,022","$224,311",1,"$25,000",15000
295,10,"$15,629","$156,293",1,"$25,000",15000
296,20,"$16,507","$330,139",1,"$25,000",15000
297,17,"$15,630","$265,715",1,"$25,000",15000
298,11,"$21,450","$235,951",0,"$25,000",15000
299,30,"$19,600","$588,002",0,"$25,000",15000
300,14,"$18,595","$260,332",0,"$25,000",15000
301,18,"$17,861","$321,491",0,"$25,000",15000
302,12,"$17,816","$213,797",1,"$25,000",15000
303,25,"$19,948","$498,696",0,"$25,000",15000
304,24,"$20,872","$500,935",0,"$25,000",15000
305,13,"$20,242","$263,142",0,"$25,000",15000
306,15,"$16,868","$253,018",1,"$25,000",15000
307,18,"$17,527","$315,491",1,"$25,000",15000
308,15,"$18,715","$280,731",0,"$25,000",15000
309,24,"$18,152","$435,649",0,"$25,000",15000
310,16,"$20,164","$322,626",1,"$25,000",15000
311,19,"$19,288","$366,471",1,"$25,000",15000
312,21,"$20,744","$435,631",0,"$25,000",15000
313,38,"$21,377","$812,335",0,"$25,000",15000
314,10,"$19,383","$193,829",1,"$25,000",15000
315,10,"$22,475","$224,752",0,"$25,000",15000
316,21,"$22,129","$464,717",1,"$25,000",15000
317,15,"$21,913","$328,690",0,"$25,000",15000
318,20,"$18,193","$363,862",1,"$25,000",15000
319,14,"$18,331","$256,637",1,"$25,000",15000
320,17,"$20,471","$348,005",0,"$25,000",15000
321,12,"$17,715","$212,585",1,"$25,000",15000
322,23,"$22,480","$517,037",0,"$25,000",15000
323,21,"$19,426","$407,936",0,"$25,000",15000
324,17,"$18,355","$312,038",1,"$25,000",15000
325,11,"$21,130","$232,426",0,"$25,000",15000
326,37,"$20,245","$749,076",0,"$25,000",15000
327,43,"$16,713","$718,673",1,"$25,000",15000
328,24,"$19,133","$459,196",1,"$25,000",15000
329,31,"$19,373","$600,562",0,"$25,000",15000
330,18,"$19,340","$348,125",0,"$25,000",15000
331,12,"$16,528","$198,341",1,"$25,000",15000
332,21,"$16,793","$352,655",1,"$25,000",15000
333,27,"$19,799","$534,572",0,"$25,000",15000
334,10,"$19,980","$199,802",0,"$25,000",15000
335,18,"$19,300","$347,396",0,"$25,000",15000
336,15,"$18,289","$274,328",1,"$25,000",15000
337,21,"$17,912","$376,162",0,"$25,000",15000
338,42,"$16,860","$708,134",1,"$25,000",15000
339,13,"$17,145","$222,886",0,"$25,000",15000
340,20,"$17,475","$349,491",1,"$25,000",15000
341,15,"$21,176","$317,647",0,"$25,000",15000
342,15,"$15,418","$231,275",1,"$25,000",15000
343,16,"$15,550","$248,802",1,"$25,000",15000
344,22,"$17,441","$383,692",0,"$25,000",15000
345,35,"$16,017","$560,597",1,"$25,000",15000
346,31,"$15,475","$479,735",0,"$25,000",15000
347,13,"$16,465","$214,040",1,"$25,000",15000
348,25,"$18,096","$452,402",1,"$25,000",15000
349,18,"$20,727","$373,089",0,"$25,000",15000
350,14,"$17,750","$248,505",1,"$25,000",15000
351,10,"$21,816","$218,158",0,"$25,000",15000
352,18,"$18,117","$326,108",1,"$25,000",15000
353,22,"$16,163","$355,585",1,"$25,000",15000
354,13,"$15,048","$195,628",1,"$25,000",15000
355,19,"$15,412","$292,830",1,"$25,000",15000
356,21,"$16,254","$341,336",0,"$25,000",15000
357,14,"$20,149","$282,083",0,"$25,000",15000
358,12,"$15,304","$183,645",1,"$25,000",15000
359,14,"$19,625","$274,749",0,"$25,000",15000
360,14,"$17,482","$244,753",1,"$25,000",15000
361,15,"$16,949","$254,231",0,"$25,000",15000
362,34,"$18,400","$625,613",0,"$25,000",15000
363,34,"$21,189","$720,428",0,"$25,000",15000
364,27,"$18,639","$503,261",0,"$25,000",15000
365,11,"$21,330","$234,625",0,"$25,000",15000
366,21,"$21,079","$442,656",0,"$25,000",15000
367,23,"$19,834","$456,190",0,"$25,000",15000
368,12,"$18,068","$216,820",0,"$25,000",15000
369,21,"$17,273","$362,731",1,"$25,000",15000
370,17,"$21,381","$363,483",0,"$25,000",15000
371,19,"$19,789","$375,984",0,"$25,000",15000
372,21,"$21,104","$443,185",0,"$25,000",15000
373,16,"$15,529","$248,459",1,"$25,000",15000
374,12,"$17,496","$209,957",1,"$25,000",15000
375,13,"$21,891","$284,583",0,"$25,000",15000
376,17,"$18,137","$308,327",0,"$25,000",15000
377,13,"$19,916","$258,905",0,"$25,000",15000
378,25,"$15,547","$388,665",0,"$25,000",15000
379,17,"$21,997","$373,943",0,"$25,000",15000
380,10,"$18,501","$185,011",1,"$25,000",15000
381,25,"$21,026","$525,660",0,"$25,000",15000
382,16,"$18,556","$296,893",0,"$25,000",15000
383,24,"$17,093","$410,220",1,"$25,000",15000
384,23,"$17,802","$409,444",0,"$25,000",15000
385,18,"$18,848","$339,258",1,"$25,000",15000
386,26,"$20,939","$544,419",0,"$25,000",15000
387,13,"$22,175","$288,272",0,"$25,000",15000
388,29,"$18,256","$529,433",0,"$25,000",15000
389,12,"$21,044","$252,527",0,"$25,000",15000
390,15,"$22,288","$334,323",0,"$25,000",15000
391,12,"$17,036","$204,431",1,"$25,000",15000
392,25,"$15,727","$393,172",1,"$25,000",15000
393,25,"$19,652","$491,309",0,"$25,000",15000
394,35,"$16,391","$573,692",1,"$25,000",15000
395,25,"$17,804","$445,103",1,"$25,000",15000
396,26,"$19,871","$516,649",1,"$25,000",15000
397,24,"$19,020","$456,473",0,"$25,000",15000
398,15,"$21,527","$322,904",0,"$25,000",15000
399,17,"$18,400","$312,802",0,"$25,000",15000
400,10,"$16,201","$162,011",1,"$25,000",15000
401,16,"$16,412","$262,589",1,"$25,000",15000
402,37,"$19,891","$735,963",0,"$25,000",15000
403,44,"$20,117","$885,129",0,"$25,000",15000
404,22,"$22,014","$484,302",0,"$25,000",15000
405,41,"$19,784","$811,146",1,"$25,000",15000
406,17,"$16,087","$273,474",0,"$25,000",15000
407,26,"$20,793","$540,611",0,"$25,000",15000
408,14,"$21,345","$298,835",0,"$25,000",15000
409,33,"$20,175","$665,784",0,"$25,000",15000
410,18,"$20,051","$360,915",0,"$25,000",15000
411,30,"$16,362","$490,869",0,"$25,000",15000
412,25,"$17,658","$441,453",1,"$25,000",15000
413,27,"$22,004","$594,108",0,"$25,000",15000
414,25,"$21,964","$549,090",0,"$25,000",15000
415,14,"$15,515","$217,206",1,"$25,000",15000
416,12,"$21,693","$260,312",0,"$25,000",15000
417,19,"$20,519","$389,866",0,"$25,000",15000
418,13,"$21,579","$280,527",0,"$25,000",15000
419,14,"$21,095","$295,329",0,"$25,000",15000
420,15,"$21,252","$318,786",0,"$25,000",15000
421,10,"$20,462","$204,617",0,"$25,000",15000
422,31,"$17,937","$556,040",1,"$25,000",15000
423,21,"$19,245","$404,139",0,"$25,000",15000
424,17,"$20,122","$342,076",0,"$25,000",15000
425,19,"$15,730","$298,866",1,"$25,000",15000
426,26,"$19,169","$498,399",0,"$25,000",15000
427,30,"$21,889","$656,685",0,"$25,000",15000
428,24,"$20,887","$501,300",0,"$25,000",15000
429,12,"$19,774","$237,283",0,"$25,000",15000
430,11,"$20,087","$220,955",1,"$25,000",15000
431,12,"$16,109","$193,311",1,"$25,000",15000
432,19,"$19,545","$371,350",0,"$25,000",15000
433,24,"$19,731","$473,535",0,"$25,000",15000
434,27,"$22,033","$594,901",0,"$25,000",15000
435,16,"$16,418","$262,692",1,"$25,000",15000
436,17,"$20,533","$349,064",0,"$25,000",15000
437,21,"$21,924","$460,406",0,"$25,000",15000
438,21,"$15,608","$327,776",1,"$25,000",15000
439,14,"$15,511","$217,150",1,"$25,000",15000
440,15,"$21,276","$319,147",0,"$25,000",15000
441,20,"$15,474","$309,476",1,"$25,000",15000
442,21,"$20,985","$440,685",0,"$25,000",15000
443,14,"$18,080","$253,117",0,"$25,000",15000
444,16,"$15,956","$255,303",1,"$25,000",15000
445,14,"$21,420","$299,882",0,"$25,000",15000
446,21,"$19,845","$416,735",0,"$25,000",15000
447,29,"$21,026","$609,747",0,"$25,000",15000
448,26,"$17,957","$466,887",1,"$25,000",15000
449,26,"$20,579","$535,049",0,"$25,000",15000
450,17,"$16,248","$276,208",1,"$25,000",15000
451,19,"$19,526","$371,002",0,"$25,000",15000
452,28,"$15,794","$442,236",1,"$25,000",15000
453,38,"$20,295","$771,195",0,"$25,000",15000
454,17,"$16,234","$275,972",1,"$25,000",15000
455,14,"$20,117","$281,637",0,"$25,000",15000
456,18,"$18,377","$330,782",1,"$25,000",15000
457,17,"$18,975","$322,579",0,"$25,000",15000
458,10,"$21,652","$216,520",0,"$25,000",15000
459,23,"$18,703","$430,172",0,"$25,000",15000
460,31,"$18,473","$572,659",0,"$25,000",15000
461,14,"$20,181","$282,540",0,"$25,000",15000
462,13,"$20,529","$266,875",0,"$25,000",15000
463,11,"$22,447","$246,918",0,"$25,000",15000
464,22,"$19,634","$431,955",0,"$25,000",15000
465,11,"$18,818","$207,002",1,"$25,000",15000
466,19,"$19,776","$375,742",0,"$25,000",15000
467,21,"$15,111","$317,331",1,"$25,000",15000
468,37,"$16,044","$593,636",1,"$25,000",15000
469,23,"$20,207","$464,750",0,"$25,000",15000
470,28,"$17,310","$484,669",0,"$25,000",15000
471,11,"$19,550","$215,049",0,"$25,000",15000
472,13,"$20,806","$270,479",0,"$25,000",15000
473,14,"$18,739","$262,340",0,"$25,000",15000
474,18,"$22,399","$403,178",0,"$25,000",15000
475,19,"$18,890","$358,918",0,"$25,000",15000
476,17,"$20,177","$343,006",1,"$25,000",15000
477,19,"$15,172","$288,276",1,"$25,000",15000
478,10,"$19,390","$193,898",0,"$25,000",15000
479,19,"$15,185","$288,517",1,"$25,000",15000
480,28,"$18,101","$506,831",0,"$25,000",15000
481,34,"$20,902","$710,680",0,"$25,000",15000
482,10,"$15,529","$155,288",1,"$25,000",15000
483,14,"$16,204","$226,859",1,"$25,000",15000
484,15,"$20,083","$301,243",0,"$25,000",15000
485,11,"$20,425","$224,673",0,"$25,000",15000
486,10,"$21,374","$213,742",0,"$25,000",15000
487,12,"$16,547","$198,560",1,"$25,000",15000
488,11,"$21,230","$233,535",0,"$25,000",15000
489,11,"$16,331","$179,646",1,"$25,000",15000
490,28,"$17,010","$476,276",1,"$25,000",15000
491,17,"$15,020","$255,338",1,"$25,000",15000
492,10,"$19,236","$192,357",1,"$25,000",15000
493,28,"$19,481","$545,479",1,"$25,000",15000
494,11,"$20,921","$230,132",0,"$25,000",15000
495,10,"$17,542","$175,420",0,"$25,000",15000
496,19,"$19,814","$376,472",1,"$25,000",15000
497,13,"$16,329","$212,275",1,"$25,000",15000
498,21,"$15,182","$318,827",1,"$25,000",15000
499,30,"$17,898","$536,939",0,"$25,000",15000
500,17,"$15,374","$261,356",1,"$25,000",15000
501,17,"$16,736","$284,507",1,"$25,000",15000
502,21,"$19,991","$419,805",0,"$25,000",15000
503,19,"$18,277","$347,267",0,"$25,000",15000
504,13,"$17,606","$228,876",1,"$25,000",15000
505,24,"$20,083","$482,003",0,"$25,000",15000
506,11,"$16,673","$183,400",1,"$25,000",15000
507,15,"$16,399","$245,984",1,"$25,000",15000
508,11,"$19,233","$211,559",0,"$25,000",15000
509,11,"$16,850","$185,347",1,"$25,000",15000
510,40,"$16,651","$666,050",1,"$25,000",15000
511,19,"$16,511","$313,712",0,"$25,000",15000
512,11,"$15,697","$172,665",1,"$25,000",15000
513,15,"$18,320","$274,802",0,"$25,000",15000
514,16,"$15,116","$241,863",0,"$25,000",15000
515,26,"$19,178","$498,626",0,"$25,000",15000
516,23,"$20,887","$480,394",0,"$25,000",15000
517,11,"$17,451","$191,962",1,"$25,000",15000
518,21,"$19,449","$408,420",0,"$25,000",15000
519,12,"$18,370","$220,435",0,"$25,000",15000
520,35,"$19,088","$668,070",0,"$25,000",15000
521,19,"$16,381","$311,233",1,"$25,000",15000
522,15,"$15,459","$231,891",1,"$25,000",15000
523,44,"$20,903","$919,725",0,"$25,000",15000
524,12,"$18,899","$226,791",0,"$25,000",15000
525,22,"$19,610","$431,410",0,"$25,000",15000
526,10,"$16,180","$161,803",1,"$25,000",15000
527,28,"$17,345","$485,669",0,"$25,000",15000
528,15,"$21,278","$319,167",0,"$25,000",15000
529,10,"$17,191","$171,913",1,"$25,000",15000
530,20,"$16,991","$339,828",1,"$25,000",15000
531,33,"$19,859","$655,340",0,"$25,000",15000
532,20,"$22,463","$449,254",0,"$25,000",15000
533,15,"$19,238","$288,568",0,"$25,000",15000
534,14,"$16,203","$226,848",0,"$25,000",15000
535,29,"$20,992","$608,756",0,"$25,000",15000
